name,domain,year founded,industry,size range,city, state,country, linkedin url,current employee estimate,total employee estimate,Score,reviews,salaries,interviews,KMT,market_cap,enterprise_value,trailing_pe,forward_pe,peg_ratio_5,price_sales,price_book,enterprise_value_revenue,enterprise_value_ebitda,profit_margin,operating_margin,return_on_assets,return_on_equity,revenue,revenue_per_share,quarterly_revenue_share,gross_profit,ebitda,net_income_avi_to_common,diluted_eps,quarterly_earnings_growth,total_cash,total_cash_per_share,total_dept,total_dept_per_equity,operating_cash_flow,leveraged_free_cash_flow,stock_beta_3y,stock 52_week,stock_sp500_52_week,stock_52_week_high,stock_52_week_low,website_rank,organic_traffic,traffic_cost
onia,onia.com,2009.0,apparel & fashion,11 - 50,new york, new york, united states,linkedin.com/company/onia-llc.,21,67,1.3,29.0,6,4,CIF,53000000.0,74140000.0,17.76,,,13.07,1.08,18.29,,0.7379000000000001,0.8356999999999999,0.0295,0.0596,4050000.0,0.21,-0.024,4100000.0,,2990000.0,0.152,,1850.0,0.0,20000000.0,40.65,6940000.0,1980000.0,0.77,0.1948,0.1325,2.77,1.91,235832,9.98K,$243
building,building.com.tr,2009.0,apparel & fashion,201 - 500,i̇stanbul, istanbul, turkey,linkedin.com/company/building,116,129,4.0,29.0,16,2,CBPX,1250000000.0,1380000000.0,20.45,19.3,1.98,2.43,3.58,2.68,10.51,0.1212,0.1711,0.0815,0.1788,514430000.0,14.6,-0.028999999999999998,147680000.0,131060000.0,62360000.0,1.76,-0.276,126430000.0,3.64,263640000.0,75.41,112510000.0,62670000.0,,0.209,0.1325,36.28,21.35,N/A,N/A,N/A
cactus,cactusdenver.com,1990.0,marketing and advertising,201 - 500,denver, colorado, united states,linkedin.com/company/cactus-marketing-communications,103,300,3.6,29.0,20,1,WHD,2290000000.0,1500000000.0,15.55,17.24,3.22,3.65,4.6,2.39,6.6,0.13449999999999998,0.304,0.17329999999999998,0.4023,628000000.0,14.64,0.067,218230000.0,227520000.0,84480000.0,1.96,0.036000000000000004,167540000.0,3.56,39670000.0,8.11,193020000.0,102560000.0,,-0.0461,0.1325,40.68,24.23,N/A,N/A,N/A
trade,tradegallery.org,2008.0,fine art,201 - 500,nottinghamshire, nottinghamshire, united kingdom,linkedin.com/company/trade,116,125,4.0,29.0,16,5,AMTD,21720000000.0,14050000000.0,10.0,12.94,-2.12,3.7,2.49,2.39,,0.376,0.4865,0.0543,0.2644,5870000000.0,10.58,0.109,5510000000.0,,2210000000.0,3.96,0.214,11540000000.0,21.09,3590000000.0,41.31,,,1.18,-0.2359,0.1325,57.88,32.69,N/A,N/A,N/A
wavefront,wavefrontac.com,2007.0,wireless,11 - 50,vancouver, british columbia, canada,linkedin.com/company/wavefront,23,95,4.5,29.0,8,3,WFTSF,7190000.0,6390000.0,,,,,2.48,,,-0.2257,0.0,-0.0723,-0.2556,,,-0.261,2500000.0,,,-0.016,,,,,,,,1.48,-0.7393000000000001,0.1325,0.28,0.05,N/A,N/A,N/A
braskem,braskem.com.br,2002.0,plastics,10001+,alvares florence, sao paulo, brazil,linkedin.com/company/braskem,4381,8857,4.2,684.0,1400.0,123,BRKMY,5670000000.0,,,,,,,,,,,,,,,,11570000000.0,,,,,,,,,,,,,,27.06,12.31,77954,58.72K,$119
online,online.nl,1994.0,internet,1001 - 5000,the hague, zuid-holland, netherlands,linkedin.com/company/online,806,1162,4.7,129.0,86,26,BOSC,8180000.0,10180000.0,9.37,,,0.25,0.57,0.31,7.78,0.0231,0.0303,0.0279,0.06269999999999999,33360000.0,9.02,0.163,6740000.0,1310000.0,769000.0,0.205,-0.8959999999999999,1440000.0,0.35,3900000.0,28.67,,,1.01,-0.1198,0.1325,3.99,1.9,29408,228.06K,$4.96K
fitch,fitch.com,1972.0,marketing and advertising,501 - 1000,london, greater london, united kingdom,linkedin.com/company/fitch,331,2253,3.2,74.0,88,12,ANF,1130000000.0,2380000000.0,17.23,13.95,-3.19,0.31,1.15,0.66,7.65,0.0196,0.0403,0.032,0.0701,3590000000.0,54.3,-0.002,2160000000.0,311290000.0,70560000.0,1.04,,499760000.0,7.95,1750000000.0,174.89,266350000.00000003,18140000.0,0.95,0.0131,0.1325,30.63,13.58,N/A,N/A,N/A
redbubble,redbubble.com,2006.0,internet,501 - 1000,melbourne, victoria, australia,linkedin.com/company/redbubble,419,599,3.6,73.0,41,15,RDBBF,299390000.0,318450000.0,,,,,13.16,,,-0.0901,0.0,-0.08039999999999999,-0.6217,,,0.41,46930000.0,,,-0.037000000000000005,,,,,,,,0.34,0.1261,0.1325,1.25,0.63,2861,4.06M,$167.18K
loopup,loopup.com,2003.0,telecommunications,201 - 500,london, greater london, united kingdom,linkedin.com/company/loopup,101,202,3.7,59.0,42,32,LOOP,391890000.0,359180000.0,,-26.42,,,9.98,,-32.75,0.0,0.0,-0.2643,-0.7784,,,,,-10970000.0,-17370000.0,-0.49,,37930000.0,0.97,5230000.0,13.31,-8890000.0,-3630000.0,0.2,0.2832,0.1325,18.65,5.69,N/A,N/A,N/A
sapphire,sapphire.net,1996.0,information technology and services,51 - 200,county durham, county durham, united kingdom,linkedin.com/company/sapphire,49,102,2.9,44.0,877,17,AASZF,889750000.0,854240000.0,,,,352.51,4.18,338.45,-105.57,0.0,-3.8899,-0.0292,-0.0818,2520000.0,0.04,505.0,43000.0,-8090000.0,-14810000.0,-0.23,,81020000.0,1.14,27200000.0,12.59,-22050000.0,-88740000.0,0.54,0.456,0.1325,12.68,7.95,N/A,N/A,N/A
envision,envision.com,1983.0,information technology and services,501 - 1000,st. louis, missouri, united states,linkedin.com/company/envision,277,714,3.6,44.0,40,27,EVSI,26310000.0,21910000.0,,-14.29,,4.99,3.51,4.16,-8.46,-0.7106,-0.5001,-0.2674,-1.2385,5270000.0,1.58,0.9420000000000001,-192100.0,-2590000.0,-3750000.0,-1.12,,5920000.0,1.16,826650.0,11.04,-3910000.0,-2750000.0,0.79,-0.5471,0.1325,12.4,4.52,N/A,N/A,N/A
clara,clara-france.fr,2002.0,marketing and advertising,51 - 200,colombelles, normandy, france,linkedin.com/company/clara,61,100,3.7,38.0,,5,INFT,25410000.0,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,-0.2177,0.1325,9.97,7.55,N/A,N/A,N/A
acme,acme-lb.com,2013.0,design,501 - 1000,lebanon, pennsylvania, united states,linkedin.com/company/acme-s-a-r-l-,354,401,3.9,38.0,41,4,ACU,68320000.0,106150000.0,13.63,12.35,1.35,0.49,1.24,0.76,9.21,0.0367,0.0581,0.0443,0.09539999999999996,139720000.0,41.65,0.065,50650000.0,11530000.0,5130000.0,1.5,0.312,5700000.0,1.7,43770000.0,79.54,16239999.999999998,13190000.0,1.3,0.25370000000000004,0.1325,22.87,13.5,N/A,N/A,N/A
ains,ains.net.au,1996.0,telecommunications,11 - 50,melbourne, victoria, australia,linkedin.com/company/ains,22,58,2.9,37.0,58,10,BCLI,87040000.0,86960000.0,,-4.64,,,,,-4.75,0.0,0.0,-0.7719,-4.4241,,,,,-18320000.0,-18490000.0,-0.88,,2700000.0,0.12,2840000.0,,-14660000.0,-8890000.0,1.22,0.2222,0.1325,4.5,2.92,N/A,N/A,N/A
mcs,mcs-selection.it,1977.0,human resources,1001 - 5000,milan, lombardia, italy,linkedin.com/company/mcs,765,1062,3.1,36.0,34,3,CMCSA,205630000000.0,310080000000.0,16.75,13.1,1.4,1.9,2.63,2.86,9.21,0.1145,0.191,0.0566,0.1648,108390000000.0,23.86,0.212,64810000000.0,33670000000.0,12410000000.0,2.7,0.115,3510000000.0,0.77,105440000000.0,130.94,25250000000.0,12410000000.0,1.08,0.1751,0.1325,47.27,32.61,N/A,N/A,N/A
ermi,ermi.net,1999.0,environmental services,1 - 10,fort myers, florida, united states,linkedin.com/company/ermi,3,3,3.3,32.0,21,8,DERM,441080000.0,450320000.0,,-1.91,-0.02,5.32,30.41,5.43,-2.22,-2.5608,-2.4592,-0.3011,-6.2120000000000015,82870000.0,1.71,15.085,3990000.0,-203210000.0,-212220000.0,-4.37,,358130000.0,6.57,367380000.0,2537.14,-215170000.0,-192200000.0,1.33,-0.2014,0.1325,15.48,5.25,N/A,N/A,N/A
class,classinc.org,1976.0,non-profit organization management,51 - 200,lawrence, massachusetts, united states,linkedin.com/company/classinc,75,135,3.4,32.0,26,7,CLNC,1510000000.0,6560000000.0,,7.95,,2.48,0.71,10.73,43.99,-0.9418,0.0991,0.004699999999999999,-0.2395,611140000.0,4.76,0.013999999999999999,325270000.0,149070000.0,-577680000.0,-4.51,,60330000.0,0.47,4990000000.0,226.02,149530000.0,-496000000.0,,-0.35729999999999995,0.1325,19.51,11.18,N/A,N/A,N/A
forterra,forterra.org,1989.0,non-profit organization management,51 - 200,seattle, washington, united states,linkedin.com/company/forterra,45,251,2.7,32.0,33,3,FRTA,709540000.0,2050000000.0,,40.7,1.03,0.47,5.72,1.37,11.95,-0.011000000000000001,0.0484,0.0244,-0.1313,1510000000.0,23.5,0.069,245570000.0,171920000.0,-16610000.0,-0.26,3.076,43850000.0,0.68,1390000000.0,1118.14,121510000.0,23710000.0,2.25,1.3369,0.1325,11.75,3.25,N/A,N/A,N/A
cambrex,cambrex.com,1981.0,pharmaceuticals,501 - 1000,east rutherford, new jersey, united states,linkedin.com/company/cambrex,372,911,2.5,31.0,47,8,CBM,2020000000.0,2480000000.0,55.12,29.06,1.87,3.27,2.99,4.01,15.46,0.0595,0.1659,0.04650000000000002,0.0537,618060000.0,18.37,0.42,195780000.0,160110000.0,35850000.0,1.09,-0.643,80830000.0,2.4,538030000.0,79.6,130450000.0,101710000.0,2.16,0.2619,0.1325,60.29,33.8,N/A,N/A,N/A
range,rangeus.com,2001.0,marketing and advertising,51 - 200,dallas, texas, united states,linkedin.com/company/range,44,83,3.9,31.0,65,9,ORAN,42400000000.0,42260000000.0,18.14,,,,1.19,,,0.0529,0.0,0.0308,0.0737,,,0.015,15780000000.0,,,0.88,0.317,,,,132.49,,,0.41,-0.0409,0.1325,17.06,14.57,N/A,N/A,N/A
lcg,lcgtech.com,1994.0,computer software,51 - 200,baltimore, maryland, united states,linkedin.com/company/lcg,94,161,3.9,31.0,109,7,CLCGY,4390000000.0,4260000000.0,40.47,,,,12.89,,,0.0543,0.0,0.1179,0.3646,,,0.08199999999999999,6690000000.0,,,0.85,0.179,,,,3.93,,,0.35,0.2447,0.1325,34.48,23.58,N/A,N/A,N/A
vertica,vertica.dk,2001.0,information technology and services,201 - 500,arhus, midtjylland, denmark,linkedin.com/company/vertica,74,132,4.4,30.0,46,15,IIIV,594000000.0,510890000.0,,23.61,1.06,1.69,3.97,1.45,20.31,-0.0036,0.0341,0.0294,0.0273,351800000.0,38.47,0.153,68650000.0,25150000.0,-1330000.0,-0.15,,1510000.0,0.1,137640000.0,98.05,19720000.0,19660000.0,,0.16190000000000002,0.1325,31.45,17.14,N/A,N/A,N/A
town,townagency.co.uk,2014.0,marketing and advertising,11 - 50,houston, texas, united states,linkedin.com/company/town,20,23,3.5,30.0,21,5,CLUB,40880000.0,826440000.0,,-3.65,-0.21,0.09,,1.78,17.97,-0.0279,0.0159,0.0086,,464280000.0,17.58,0.048,248620000.0,45990000.0,-12940000.0,-0.49,,20860000.0,0.78,808400000.0,,43410000.0,33760000.0,1.44,-0.8061,0.1325,7.66,1.11,N/A,N/A,N/A
aver,aver.uk.com,2012.0,public relations and communications,1 - 10,london, london, united kingdom,linkedin.com/company/aver,4,7,3.3,30.0,5,4,AVY,11040000000.0,13070000000.0,47.48,18.75,1.91,1.56,10.45,1.85,13.41,0.0337,0.1155,0.0969,0.2264,7070000000.0,83.45,0.001,1920000000.0,974200000.0,238200000.0,2.79,-0.033,255700000.0,3.06,2140000000.0,202.71,737200000.0,393260000.0,1.33,0.455,0.1325,134.56,82.89,N/A,N/A,N/A
stance,stancebranding.com,2011.0,marketing and advertising,11 - 50,las vegas, nevada, united states,linkedin.com/company/stance,6,15,4.0,30.0,12,4,DL,226150000.0,248450000.0,13.09,10.7,-1.68,1.15,3.55,1.26,13.37,0.0872,0.0567,0.0217,0.1824,196760000.0,5.92,0.302,78780000.0,18590000.0,17110000.0,0.51,0.841,85500000.0,2.55,44790000.0,34.81,,,1.19,-0.157,0.1325,8.03,3.89,N/A,N/A,N/A
innophos,innophos.com,2006.0,chemicals,501 - 1000,cranbury, new jersey, united states,linkedin.com/company/innophos,350,554,3.2,29.0,36,7,IPHS,629910000.0,995160000.0,29.65,13.22,1.53,0.83,1.85,1.31,9.06,0.0282,0.0875,0.0489,0.063,758540000.0,38.77,-0.039,153090000.0,109780000.0,21270000.0,1.08,-0.542,30730000.0,1.57,399860000.0,118.34,62910000.0,38610000.0,1.43,0.11,0.1325,37.53,22.57,N/A,N/A,N/A
freshpet,freshpet.com,2006.0,consumer goods,51 - 200,secaucus, new jersey, united states,linkedin.com/company/freshpet,83,140,3.7,29.0,15,3,FRPT,2000000000.0,2060000000.0,,95.43,110.7,8.62,16.14,8.88,169.76,-0.0184,-0.013999999999999999,-0.0118,-0.0354,231750000.0,6.47,0.285,89990000.0,12120000.0,-4260000.0,-0.12,,7210000.0,0.2,45240000.0,36.55,13530000.0,-23270000.0,1.06,0.5854,0.1325,56.5,28.44,70987,67.07K,$4.52K
dickson,dicksondata.com,1923.0,electrical/electronic manufacturing,51 - 200,addison, illinois, united states,linkedin.com/company/dickson_2,46,102,4.0,29.0,14,11,DCOHF,181330000.0,176840000.0,,,,,,,,0.1007,0.0,0.0346,0.17,,,0.057999999999999996,2000000000.0,,,,0.912,,,,,,,0.25,-0.0594,0.1325,0.64,0.44,151591,20.74K,$228
rise,2rise.nl,2003.0,internet,201 - 500,nieuwegein, utrecht, netherlands,linkedin.com/company/rise,115,177,3.7,29.0,18,2,ASRV,70780000.0,145910000.0,9.93,,,1.39,0.69,2.87,,0.1434,0.1847,0.0062,0.073,50810000.0,2.9,-0.005,50320000.0,,7290000.0,0.416,-0.275,,,74410000.0,,,,0.34,-0.0258,0.1325,4.35,3.92,N/A,N/A,N/A
berg,berglondon.com,2005.0,design,51 - 200,london, greater london, united kingdom,linkedin.com/company/berg,27,65,2.8,29.0,48,14,ABC,17930000000.0,18590000000.0,21.31,10.63,1.57,0.1,5.98,0.1,7.51,0.0048,0.011200000000000002,0.0327,0.2827,179590000000.0,854.52,0.054000000000000006,5140000000.0,2470000000.0,855360000.0,4.04,-0.4320000000000001,3370000000.0,16.22,4170000000.0,139.41,2340000000.0,1680000000.0,0.98,-0.0405,0.1325,94.75,69.36,136521,24.55K,$21
central bank,centralbank.net,1902.0,financial services,1001 - 5000,jefferson city, missouri, united states,linkedin.com/company/central-bancompany,755,1731,4.3,30.0,45,6,CBSU,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,0.1333,0.1325,29.0,23.12,25812,270.36K,$11.61K
graham,grahambuilds.com,1926.0,construction,1001 - 5000,calgary, alberta, canada,linkedin.com/company/graham-group-ltd-,1052,2260,4.2,28.0,16,4,GHC,3330000000.0,3730000000.0,14.04,15.05,1.13,1.16,1.09,1.3,9.02,0.08349999999999999,0.106,0.0366,0.079,2860000000.0,541.1,0.095,1010000000.0,413400000.0,237390000.0,44.6,-0.655,696640000.0,131.09,1080000000.0,35.42,167440000.0,140590000.0,0.35,-0.0242,0.1325,756.26,614.81,N/A,N/A,N/A
mhc,mhcsoftwareinc.com,1980.0,hospital & health care,501 - 1000,burnsville, minnesota, united states,linkedin.com/company/mhc,366,430,2.6,28.0,44,4,HMHC,754690000.0,1360000000.0,,-6.46,-0.86,0.54,1.1,0.97,-550.34,-0.1034,-0.0866,-0.0278,-0.2317,1400000000.0,11.28,0.096,631690000.0,-2460000.0,-175100000.0,-1.17,-0.198,308680000.0,2.48,910010000.0,132.52,198820000.0,201490000.0,0.9,-0.3218,0.1325,10.64,4.49,N/A,N/A,N/A
quanterix,quanterix.com,2007.0,biotechnology,51 - 200,lexington, massachusetts, united states,linkedin.com/company/quanterix,89,161,3.1,28.0,28,3,QTRX,604830000.0,522120000.0,,-12.36,,11.7,4.47,10.1,-14.76,-0.7578,-0.726,-0.1901,-0.426,51690000.0,2.19,0.41100000000000003,17950000.0,-35390000.0,-39170000.0,-1.66,,113330000.0,4.05,7640000.0,5.61,-29760000.0,-36340000.0,,0.30820000000000003,0.1325,36.15,16.03,N/A,N/A,N/A
oasis petroleum,oasispetroleum.com,2007.0,oil & energy,501 - 1000,houston, texas, united states,linkedin.com/company/oasis-petroleum,398,644,3.4,28.0,28,10,OAS,921950000.0,3990000000.0,5.29,-11.92,-2.16,0.45,0.25,1.92,3.28,0.0821,0.2257,0.0387,0.0531,2070000000.0,6.59,-0.28600000000000003,1260000000.0,1220000000.0,170140000.0,0.541,-0.675,19430000.0,0.06,2830000000.0,72.54,874310000.0,-287570000.0,2.2,-0.6396000000000001,0.1325,8.84,2.41,351989,5.04K,$270
hal,hal-inc.com,1992.0,information technology and services,1001 - 5000,houston, texas, united states,linkedin.com/company/hal,634,781,2.4,28.0,20,2,HALL,342160000.0,398310000.0,12.24,12.03,3.16,0.77,1.15,0.9,8.65,0.0639,0.092,0.0186,0.1003,442160000.0,24.44,0.149,123240000.0,46040000.0,28270000.0,1.54,-0.45399999999999996,64050000.0,3.53,122360000.0,41.28,8950000.0,39180000.0,0.56,0.7070000000000001,0.1325,20.3,9.48,N/A,N/A,N/A
cirrus,cirrus-connect.com,2010.0,management consulting,51 - 200,wilmslow, cheshire east, united kingdom,linkedin.com/company/cirrus,57,125,3.8,28.0,12,1,CRUS,4160000000.0,4060000000.0,37.2,21.1,1.41,3.49,3.53,3.41,19.37,0.0981,0.1152,0.0574,0.1007,1190000000.0,20.28,0.062,597500000.0,209700000.0,116920000.0,1.93,0.31,244500000.0,4.23,146860000.0,12.46,245580000.0,191770000.0,0.92,0.7843000000000001,0.1325,72.52,31.25,N/A,N/A,N/A
mcic,mcic.org,1980.0,civic & social organization,1 - 10,chicago, illinois, united states,linkedin.com/company/metropolitan-chicago-information-center,1,32,1.9,28.0,11,3,MCIC,1970000.0,,,,,,,,,0.0,0.0,,,,,,,-44700.0,-59700.0,,,72.0,,339760.0,,,,-0.13,0.0,0.1325,0.0025,0.0008,N/A,N/A,N/A
chromadex,chromadex.com,1999.0,chemicals,51 - 200,irvine, california, united states,linkedin.com/company/chromadex,46,150,2.9,28.0,19,5,CDXC,179890000.0,151730000.0,,-14.38,,4.26,6.61,3.59,-5.11,-0.7454999999999999,-0.7258,-0.4254,-1.041,42270000.0,0.76,0.484,16050000.0,-29710000.0,-31510000.0,-0.563,,18880000.0,0.32,2000000.0,7.38,-24960000.0,-18520000.0,,-0.16760000000000005,0.1325,4.95,2.68,306165,6.45K,$701
code,codenyc.com,2002.0,architecture & planning,51 - 200,new york, new york, united states,linkedin.com/company/code,40,56,4.8,28.0,16,3,AUDC,620590000.0,597870000.0,38.89,21.35,0.98,3.21,6.36,3.09,25.02,0.0866,0.1124,0.0677,0.177,193270000.0,6.62,0.155,110610000.0,23900000.0,16739999.999999998,0.55,0.055999999999999994,68500000.0,2.35,35410000.0,36.19,32370000.0,22340000.0,0.54,0.9373,0.1325,22.5,9.0,N/A,N/A,N/A
topbuild,topbuild.com,2015.0,construction,201 - 500,daytona beach, florida, united states,linkedin.com/company/topbuild,152,228,3.7,28.0,27,5,BLD,3670000000.0,4250000000.0,20.7,17.89,,1.41,3.15,1.63,12.62,0.0706,0.1099,0.0703,0.1631,2600000000.0,76.31,0.054000000000000006,576150000.0,337110000.0,183560000.0,5.29,0.289,171590000.0,5.12,827440000.0,71.01,253920000.0,160830000.0,0.79,1.2527,0.1325,111.48,41.27,N/A,N/A,N/A
orthofi,orthofi.com,2013.0,computer software,51 - 200,denver, colorado, united states,linkedin.com/company/orthofi,89,125,4.1,28.0,28,7,OFIX,830620000.0,826930000.0,,25.04,3.04,1.81,2.73,1.8,18.15,-0.0681,0.0423,0.0262,-0.0993,459540000.0,24.46,0.016,357810000.0,45550000.0,-31280000.0,-1.67,,56850000.0,2.98,27060000.0,8.83,41180000.0,34860000.0,0.38,-0.2333,0.1325,74.44,39.75,N/A,N/A,N/A
wgi,wgihq.org,2014.0,civic & social organization,1 - 10,baton rouge, louisiana, united states,linkedin.com/company/wgi,4,5,4.5,28.0,12,1,AWGI,224250.0,941060.0,0.05,,,7.64,,32.07,-1.87,91.9224,-17.9637,-2.9361,,29340.0,0.0,-0.9670000000000001,12890.0,-502090.0,2700000.0,0.002,,551.0,0.0,710070.0,,-108500.0,-331080.0,-126.22,0.0,0.1325,0.0002,0.0,N/A,N/A,N/A
groove,sfgroove.com,2012.0,marketing and advertising,11 - 50,mill valley, california, united states,linkedin.com/company/groove,17,47,5.0,28.0,15,5,GRVE,845960.0,1100000.0,,,,13.55,,17.68,-13.35,-2.5806,-1.6457,-0.1923,,62430.0,0.0,0.461,5030.0,-82700.0,-403600.0,-0.022,,99380.0,0.0,169200.0,,-40470.0,237400.0,0.53,-0.5421,0.1325,0.094,0.0125,N/A,N/A,N/A
luminar,luminarinsights.com,2012.0,marketing and advertising,11 - 50,denver, colorado, united states,linkedin.com/company/luminar,8,20,3.8,28.0,18,18,LRGR,77000.0,174670.0,,,,,,,,0.0,0.0,-675.2974,,,,,,,-3890000.0,-6.792000000000002,,,,97660.0,,-145240.0,1230000.0,-3.56,-0.596,0.1325,0.4,0.07,N/A,N/A,N/A
